212,"['165', '160', '189', '107', '129']"
211,"['176', '132', '171', '163', '105']"
133,"['118', '205', '178', '138', '104']"
132,"['211', '176', '171', '163', '105']"
131,"['208', '152', '169', '209', '161']"
130,"['123', '119', '206', '114', '116']"
137,"['195', '151', '163', '162', '148']"
135,"['103', '143', '177', '147', '102']"
134,"['113', '198', '183', '140', '116']"
139,"['161', '152', '209', '208', '185']"
138,"['104', '179', '175', '168', '174']"
120,"['148', '162', '151', '163', '132']"
122,"['200', '194', '101', '173', '172']"
123,"['130', '119', '206', '114', '116']"
126,"['180', '209', '169', '161', '152']"
128,"['174', '138', '104', '179', '175']"
129,"['189', '150', '157', '159', '133']"
201,"['204', '187', '190', '128', '167']"
198,"['183', '140', '134', '113', '191']"
147,"['177', '143', '135', '103', '102']"
195,"['137', '151', '163', '162', '148']"
194,"['101', '173', '172', '200', '117']"
197,"['105', '131', '211', '176', '132']"
191,"['140', '183', '198', '193', '113']"
190,"['187', '204', '201', '167', '128']"
193,"['178', '191', '204', '187', '201']"
115,"['110', '164', '102', '143', '147']"
114,"['116', '206', '111', '134', '113']"
117,"['141', '194', '101', '173', '172']"
116,"['111', '206', '114', '113', '134']"
111,"['116', '206', '114', '113', '134']"
110,"['164', '115', '143', '102', '147']"
113,"['134', '198', '183', '116', '111']"
112,"['140', '183', '198', '191', '190']"
119,"['130', '123', '206', '114', '116']"
118,"['133', '205', '138', '104', '179']"
143,"['135', '177', '103', '147', '102']"
207,"['146', '115', '110', '164', '186']"
141,"['117', '194', '101', '173', '172']"
109,"['167', '128', '201', '190', '174']"
102,"['103', '186', '135', '143', '177']"
103,"['135', '143', '177', '147', '102']"
101,"['194', '173', '172', '200', '117']"
107,"['189', '129', '133', '160', '118']"
104,"['138', '179', '175', '168', '174']"
105,"['197', '131', '211', '176', '132']"
179,"['138', '104', '175', '168', '174']"
178,"['193', '138', '104', '179', '175']"
177,"['143', '135', '147', '103', '102']"
176,"['211', '132', '171', '163', '105']"
175,"['138', '104', '179', '168', '174']"
174,"['128', '138', '104', '179', '175']"
173,"['194', '101', '172', '200', '117']"
172,"['194', '101', '173', '200', '117']"
171,"['132', '211', '176', '163', '151']"
170,"['147', '177', '143', '135', '103']"
183,"['198', '140', '191', '134', '113']"
180,"['126', '169', '209', '161', '152']"
186,"['102', '103', '135', '143', '177']"
187,"['204', '201', '190', '167', '128']"
185,"['139', '161', '126', '180', '209']"
189,"['129', '150', '157', '159', '107']"
168,"['138', '104', '179', '175', '174']"
169,"['209', '152', '208', '161', '131']"
164,"['110', '115', '143', '102', '147']"
165,"['212', '160', '189', '107', '129']"
167,"['109', '201', '190', '187', '204']"
160,"['165', '212', '189', '129', '107']"
161,"['209', '152', '169', '208', '139']"
162,"['148', '120', '151', '163', '132']"
163,"['151', '171', '162', '148', '132']"
151,"['162', '148', '120', '163', '171']"
150,"['157', '159', '129', '189', '162']"
153,"['170', '147', '177', '135', '103']"
152,"['208', '209', '169', '161', '131']"
157,"['159', '150', '189', '129', '120']"
159,"['157', '150', '189', '129', '120']"
146,"['207', '115', '110', '164', '186']"
200,"['194', '101', '173', '172', '122']"
203,"['171', '137', '195', '139', '163']"
205,"['118', '133', '138', '104', '179']"
204,"['187', '201', '190', '167', '128']"
140,"['183', '198', '191', '134', '113']"
206,"['116', '114', '111', '134', '113']"
209,"['169', '152', '208', '161', '131']"
208,"['152', '169', '209', '161', '131']"
148,"['120', '162', '151', '163', '132']"
